project_id,project_name,sector,implementing_agency,sanctioned_cost_cr,sanctioned_duration_months,start_date,elapsed_time_pct,fund_utilization_pct,physical_progress_pct,cost_overrun_pct,delay_months,risk_label
PRJ0046,Bypass & Ring Road Section 75,Roads & Highways,RVNL,576.92,36,2021-04-09,106.2,96.0,82.3,50.7,17.4,High
PRJ0047,Gas Insulated Substation & Grid Augmentation 55,Power & Energy,SECI,373.94,36,2024-01-22,104.1,96.9,90.8,17.3,7.4,Medium
PRJ0048,Elevated Corridor & Flyover Zone 6,Roads & Highways,NTPC,419.3,30,2021-05-28,33.5,26.5,5.0,28.2,6.9,High
PRJ0049,NH-26 4-Lane Widening Package 7,Roads & Highways,DMRC,207.95,36,2021-02-12,85.3,84.6,74.3,20.9,8.0,Medium
PRJ0050,Elevated Corridor & Flyover Zone 3,Roads & Highways,NHAI,106.01,30,2021-03-07,89.6,86.2,81.6,16.7,8.7,Medium
PRJ0051,NH-36 4-Lane Widening Package 3,Roads & Highways,DMRC,175.54,24,2023-12-13,68.8,51.7,32.1,54.7,12.1,High
PRJ0052,Station Redevelopment & Multi-Modal Hub 86,Railways,BRO,749.68,24,2020-11-04,112.4,102.3,81.1,37.5,16.5,High
PRJ0053,Gas Insulated Substation & Grid Augmentation 17,Power & Energy,SECI,437.5,30,2020-05-23,63.1,55.0,47.4,22.0,3.2,Medium
PRJ0054,Sewage Treatment Plant & Sewerage Network 74,Water & Sanitation,DMRC,165.14,36,2021-02-06,94.9,86.1,81.2,14.3,6.2,Medium
PRJ0055,Suburban Rail Line Expansion Phase 5,Railways,DMRC,361.73,24,2023-07-08,45.0,41.6,34.4,10.5,2.3,Medium
PRJ0056,Bio-CNG & Waste-to-Energy Plant 6,Renewable Energy,Indian Railways,265.9,30,2021-09-05,43.1,38.0,28.1,21.3,3.1,Medium
PRJ0057,Urban Drainage & Stormwater Masterplan 7,Urban Infrastructure,Indian Railways,176.55,18,2021-01-25,62.5,58.7,50.0,13.9,3.2,Medium
PRJ0058,High-Speed Rail Viaduct Package 1,Railways,State PWD,445.5,24,2023-12-01,103.7,98.0,100.0,7.5,2.6,Low
PRJ0059,Railway Doubling & Electrification Line 83,Railways,NTPC,76.63,60,2023-05-06,46.2,46.4,34.0,11.3,7.0,Medium
PRJ0060,Sewage Treatment Plant & Sewerage Network 34,Water & Sanitation,DMRC,343.53,60,2021-05-15,95.9,92.7,71.5,41.4,30.3,High
PRJ0061,Surface Water Treatment Facility Phase 8,Water & Sanitation,NHAI,45.0,30,2023-02-03,79.1,70.4,63.6,13.5,6.1,Medium
PRJ0062,NH-80 4-Lane Widening Package 8,Roads & Highways,SECI,831.84,18,2023-01-25,99.3,95.2,80.4,49.2,12.5,High
PRJ0063,Border Road Connectivity Corridor 92,Roads & Highways,State PWD,381.8,24,2023-02-18,89.1,94.0,91.7,3.5,2.1,Low
PRJ0064,Super Thermal Power Station Expansion Unit 25,Power & Energy,NHAI,143.3,30,2022-11-28,48.7,37.4,32.6,21.5,3.1,Medium
PRJ0065,High-Speed Rail Viaduct Package 7,Railways,Indian Railways,120.86,36,2020-09-06,115.0,100.0,100.0,2.9,1.6,Low
PRJ0066,Super Thermal Power Station Expansion Unit 84,Power & Energy,State PWD,91.93,36,2021-07-29,32.8,32.4,28.0,6.0,0.9,Low
PRJ0067,NH-66 4-Lane Widening Package 6,Roads & Highways,DMRC,381.77,60,2023-12-02,58.7,55.6,47.3,15.6,7.9,Medium
PRJ0068,Station Redevelopment & Multi-Modal Hub 13,Railways,State PWD,61.23,36,2021-01-05,81.1,76.1,71.4,20.2,6.9,Medium
PRJ0069,Surface Water Treatment Facility Phase 4,Water & Sanitation,BRO,255.63,30,2023-03-22,29.7,31.7,30.2,7.5,0.9,Low
PRJ0070,Smart City Multi-Level Interchange 63,Urban Infrastructure,DMRC,172.02,36,2023-05-08,63.7,71.9,66.3,3.6,1.6,Low
PRJ0071,Offshore Wind Transmission Hub 1,Renewable Energy,CPWD,128.49,48,2021-10-28,70.6,72.2,61.2,14.5,10.6,Medium
PRJ0072,Floating Solar PV Power Array 3,Renewable Energy,SECI,256.87,30,2021-02-17,27.3,26.0,18.5,10.6,2.7,Medium
PRJ0073,Station Redevelopment & Multi-Modal Hub 27,Railways,SECI,53.28,24,2022-05-01,65.7,59.8,42.3,31.3,9.1,High
PRJ0074,High-Voltage 765kV Transmission Line 72,Power & Energy,State PWD,322.52,36,2021-10-23,62.9,68.8,63.7,0.9,1.8,Low
PRJ0075,NH-38 4-Lane Widening Package 5,Roads & Highways,RVNL,497.34,36,2021-02-28,96.2,98.5,95.8,2.3,1.7,Low
PRJ0076,NH-92 4-Lane Widening Package 6,Roads & Highways,SECI,368.59,18,2022-07-01,92.3,90.9,87.3,4.8,1.0,Low
PRJ0077,NH-60 4-Lane Widening Package 7,Roads & Highways,CPWD,190.4,24,2021-11-17,29.0,29.5,9.8,44.3,4.3,High
PRJ0078,NH-11 4-Lane Widening Package 4,Roads & Highways,NHAI,82.07,30,2023-05-11,76.0,82.6,77.0,2.8,0.9,Low
PRJ0079,Bio-CNG & Waste-to-Energy Plant 1,Renewable Energy,BRO,159.06,48,2023-09-08,111.9,109.9,98.0,9.3,11.6,Medium
PRJ0080,Bulk Water Supply Transmission Pipeline 6,Water & Sanitation,State PWD,581.78,30,2020-09-16,103.9,99.8,85.9,14.9,7.5,Medium
PRJ0081,Bio-CNG & Waste-to-Energy Plant 8,Renewable Energy,BRO,45.0,18,2023-07-08,38.1,40.6,19.8,50.6,2.9,High
PRJ0082,Railway Doubling & Electrification Line 34,Railways,NTPC,238.58,30,2023-11-27,44.1,35.8,30.4,14.2,4.1,Medium
PRJ0083,High-Voltage 765kV Transmission Line 73,Power & Energy,NTPC,45.0,18,2023-02-21,79.8,83.2,69.4,9.0,5.0,Medium
PRJ0084,Floating Solar PV Power Array 1,Renewable Energy,BRO,279.78,36,2021-05-11,58.6,49.9,41.9,18.8,6.4,Medium
PRJ0085,NH-41 4-Lane Widening Package 7,Roads & Highways,NTPC,271.74,36,2022-12-29,104.3,100.0,100.0,6.5,1.0,Low
PRJ0086,Smart City Multi-Level Interchange 77,Urban Infrastructure,Indian Railways,118.18,48,2020-09-16,95.9,91.4,84.4,8.4,11.9,Medium
PRJ0087,Green Hydrogen Pilot Plant Zone 51,Renewable Energy,Indian Railways,252.13,24,2020-11-23,49.7,51.4,38.8,20.2,2.1,Medium
PRJ0088,Super Thermal Power Station Expansion Unit 38,Power & Energy,NTPC,340.7,18,2020-03-27,108.8,103.3,97.1,11.7,4.5,Medium
PRJ0089,Bio-CNG & Waste-to-Energy Plant 7,Renewable Energy,BRO,345.58,24,2020-05-26,62.8,59.1,46.1,12.4,3.8,Medium
PRJ0090,Floating Solar PV Power Array 7,Renewable Energy,CPWD,206.71,24,2020-10-14,52.0,51.1,43.1,12.3,3.6,Medium
PRJ0091,NH-29 4-Lane Widening Package 6,Roads & Highways,CPWD,334.31,30,2020-06-30,31.6,31.1,33.4,0.4,1.8,Low
PRJ0092,Station Redevelopment & Multi-Modal Hub 90,Railways,RVNL,45.0,30,2023-10-31,107.7,106.2,95.3,18.8,11.0,Medium
PRJ0093,Expressway Corridor Phase 6,Roads & Highways,Indian Railways,88.62,60,2022-12-14,67.6,66.4,65.3,4.5,0.5,Low
PRJ0094,Desalination Plant & Distribution Grid 74,Water & Sanitation,CPWD,162.12,60,2021-06-09,87.6,86.5,78.8,21.5,8.8,Medium
PRJ0095,NH-21 4-Lane Widening Package 2,Roads & Highways,DMRC,343.53,24,2022-12-05,84.8,79.5,71.2,12.1,5.1,Medium
PRJ0096,Super Thermal Power Station Expansion Unit 53,Power & Energy,RVNL,60.38,48,2023-05-28,63.5,58.4,55.3,17.0,8.4,Medium
PRJ0097,Elevated Corridor & Flyover Zone 5,Roads & Highways,Indian Railways,663.29,30,2021-04-01,109.6,100.0,93.7,19.7,9.8,Medium
PRJ0098,Offshore Wind Transmission Hub 1,Renewable Energy,State PWD,700.98,30,2021-06-21,49.2,38.9,34.8,8.9,4.9,Medium
PRJ0099,Border Road Connectivity Corridor 24,Roads & Highways,CPWD,1108.83,18,2022-09-08,88.9,88.2,65.2,35.7,11.7,High
PRJ0100,River Interlinking Canal Package 5,Water & Sanitation,DMRC,56.19,24,2023-02-10,69.3,70.2,69.4,1.0,1.9,Low
PRJ0101,High-Voltage 765kV Transmission Line 16,Power & Energy,State PWD,561.74,18,2021-09-13,103.8,92.0,86.7,11.8,6.1,Medium
PRJ0102,Pumped Storage Hydro Power Package 1,Power & Energy,Indian Railways,105.7,36,2021-12-20,71.9,46.9,37.9,21.6,12.2,High
PRJ0103,Metro Rail Line Corridor 8,Urban Infrastructure,NTPC,878.31,30,2023-11-21,102.0,96.5,86.2,10.5,8.3,Medium
PRJ0104,Offshore Wind Transmission Hub 6,Renewable Energy,NTPC,45.0,24,2021-08-07,59.1,36.6,26.6,30.1,8.8,High
PRJ0105,River Interlinking Canal Package 2,Water & Sanitation,DMRC,212.43,48,2022-04-22,108.2,105.1,98.0,19.7,14.6,Medium
PRJ0106,Elevated Corridor & Flyover Zone 6,Roads & Highways,RVNL,960.28,36,2020-03-29,48.4,25.9,12.5,34.9,7.1,High
PRJ0107,Urban Drainage & Stormwater Masterplan 6,Urban Infrastructure,State PWD,202.55,24,2022-01-15,53.3,49.5,30.9,34.8,9.5,High
PRJ0108,Bypass & Ring Road Section 91,Roads & Highways,CPWD,200.23,48,2022-12-06,113.7,99.9,100.0,3.0,0.9,Low
PRJ0109,Pumped Storage Hydro Power Package 2,Power & Energy,NHAI,99.29,36,2020-04-28,36.6,27.6,13.6,24.3,9.4,High
PRJ0110,Super Thermal Power Station Expansion Unit 11,Power & Energy,DMRC,217.0,18,2020-02-28,87.0,70.1,60.2,33.5,7.9,High
PRJ0111,Super Thermal Power Station Expansion Unit 72,Power & Energy,CPWD,762.51,24,2023-09-28,108.4,104.4,92.7,19.8,7.0,Medium
PRJ0112,Railway Doubling & Electrification Line 26,Railways,CPWD,1438.29,48,2022-09-02,81.7,76.4,72.1,16.2,13.5,Medium
PRJ0113,High-Speed Rail Viaduct Package 5,Railways,State PWD,81.79,48,2023-01-19,46.0,34.4,30.6,19.1,5.0,Medium
PRJ0114,Inner Ring Road Grade Separator 2,Urban Infrastructure,Indian Railways,458.47,30,2020-07-20,54.8,52.3,30.8,36.1,8.0,High
PRJ0115,Ultra Mega Solar Park Substation 5,Power & Energy,NHAI,284.97,48,2020-12-03,91.0,97.1,92.6,7.0,0.8,Low
PRJ0116,Smart City Multi-Level Interchange 91,Urban Infrastructure,NTPC,149.79,24,2020-12-11,98.9,96.4,98.3,3.7,2.0,Low
PRJ0117,Station Redevelopment & Multi-Modal Hub 46,Railways,RVNL,45.0,30,2023-12-14,51.8,31.9,21.5,50.3,7.0,High
PRJ0118,Ultra Mega Solar Park Substation 3,Power & Energy,NTPC,45.0,36,2021-07-21,41.2,31.4,25.9,8.4,3.3,Medium
PRJ0119,Integrated Solid Waste Processing Facility 92,Urban Infrastructure,Indian Railways,439.83,36,2022-10-03,111.5,95.5,84.8,38.3,15.8,High
PRJ0120,Sewage Treatment Plant & Sewerage Network 62,Water & Sanitation,NHAI,72.71,24,2020-06-18,92.2,84.4,66.7,31.5,14.2,High
PRJ0121,Bypass & Ring Road Section 68,Roads & Highways,BRO,45.0,30,2023-02-03,100.4,100.0,97.5,7.0,0.2,Low
PRJ0122,Border Road Connectivity Corridor 54,Roads & Highways,NHAI,2207.85,18,2020-08-13,67.4,61.3,53.9,10.0,2.9,Medium
PRJ0123,Urban Drainage & Stormwater Masterplan 3,Urban Infrastructure,BRO,325.0,36,2021-01-16,68.9,59.0,50.1,38.7,13.7,High
PRJ0124,Pumped Storage Hydro Power Package 6,Power & Energy,SECI,45.0,24,2021-05-07,73.9,71.3,61.8,12.6,5.0,Medium
PRJ0125,Bypass & Ring Road Section 83,Roads & Highways,State PWD,193.81,18,2023-12-20,114.0,100.0,100.0,3.9,0.7,Low
PRJ0126,NH-40 4-Lane Widening Package 4,Roads & Highways,RVNL,1038.47,30,2023-02-19,47.4,50.9,47.7,4.5,0.5,Low
PRJ0127,NH-44 4-Lane Widening Package 2,Roads & Highways,Indian Railways,91.26,18,2023-12-21,28.0,14.9,11.3,12.3,1.3,Medium
PRJ0128,Metro Rail Line Corridor 4,Urban Infrastructure,DMRC,223.91,24,2021-05-21,107.8,100.0,100.0,3.0,1.0,Low
PRJ0129,Integrated Solid Waste Processing Facility 57,Urban Infrastructure,SECI,356.86,60,2022-03-22,58.4,59.6,47.9,15.1,5.3,Medium
PRJ0130,Metro Rail Line Corridor 7,Urban Infrastructure,BRO,428.79,36,2021-07-18,91.9,88.9,79.0,14.6,11.1,Medium
PRJ0131,Suburban Rail Line Expansion Phase 2,Railways,NTPC,105.61,36,2022-10-12,87.8,88.5,89.4,5.0,2.1,Low
PRJ0132,Railway Doubling & Electrification Line 26,Railways,Indian Railways,155.3,18,2022-02-19,100.8,96.3,76.8,40.9,9.8,High
PRJ0133,High-Speed Rail Viaduct Package 3,Railways,Indian Railways,1384.3,30,2020-10-13,90.9,81.7,74.1,8.2,5.2,Medium
PRJ0134,Border Road Connectivity Corridor 71,Roads & Highways,DMRC,145.3,30,2023-03-24,41.0,33.7,24.8,13.3,2.9,Medium
PRJ0135,Suburban Rail Line Expansion Phase 2,Railways,DMRC,155.07,24,2022-05-29,95.1,90.7,84.9,10.3,6.4,Medium
PRJ0136,River Interlinking Canal Package 2,Water & Sanitation,RVNL,841.74,30,2024-01-20,41.1,42.7,32.6,15.3,3.8,Medium
PRJ0137,Super Thermal Power Station Expansion Unit 30,Power & Energy,SECI,195.12,18,2022-10-07,106.3,104.9,91.7,12.3,4.2,Medium
PRJ0138,High-Voltage 765kV Transmission Line 22,Power & Energy,SECI,277.33,18,2021-09-29,31.0,27.9,5.0,41.5,2.8,High
PRJ0139,NH-58 4-Lane Widening Package 1,Roads & Highways,NHAI,88.34,36,2022-06-19,96.7,93.9,94.8,4.0,2.4,Low
PRJ0140,NH-33 4-Lane Widening Package 6,Roads & Highways,DMRC,296.8,60,2022-06-27,101.3,90.9,79.1,51.8,22.0,High
PRJ0141,Green Hydrogen Pilot Plant Zone 52,Renewable Energy,Indian Railways,199.58,30,2020-02-27,72.8,68.3,50.4,46.9,12.8,High
PRJ0142,Urban Drainage & Stormwater Masterplan 7,Urban Infrastructure,Indian Railways,398.7,24,2022-01-07,99.1,100.0,97.7,0.3,1.2,Low
PRJ0143,Smart City Multi-Level Interchange 70,Urban Infrastructure,State PWD,184.78,30,2023-06-05,38.7,33.4,35.1,5.5,0.9,Low
PRJ0144,Sewage Treatment Plant & Sewerage Network 31,Water & Sanitation,NHAI,791.71,30,2021-08-04,41.9,38.6,31.3,21.7,4.4,Medium
PRJ0145,Dedicated Freight Corridor Section 30,Railways,State PWD,551.66,30,2020-08-31,50.9,49.8,38.1,20.0,4.2,Medium
PRJ0146,Super Thermal Power Station Expansion Unit 92,Power & Energy,Indian Railways,1530.08,24,2022-10-05,27.7,19.4,12.6,11.3,1.3,Medium
PRJ0147,Railway Doubling & Electrification Line 29,Railways,DMRC,313.33,30,2023-01-30,51.2,31.3,15.4,23.9,10.2,High
PRJ0148,Border Road Connectivity Corridor 96,Roads & Highways,NHAI,226.08,18,2021-01-09,99.6,90.6,81.6,14.4,2.7,Medium
PRJ0149,High-Speed Rail Viaduct Package 5,Railways,State PWD,269.69,18,2023-04-25,33.6,27.2,20.0,9.7,1.2,Medium
PRJ0150,Border Road Connectivity Corridor 18,Roads & Highways,SECI,159.17,18,2022-12-25,79.5,78.1,68.9,17.5,2.2,Medium
PRJ0151,Integrated Solid Waste Processing Facility 21,Urban Infrastructure,State PWD,230.91,24,2023-09-27,92.7,82.6,74.9,16.7,6.2,Medium
PRJ0152,Expressway Corridor Phase 1,Roads & Highways,BRO,258.83,60,2020-12-12,104.9,97.2,100.0,4.2,1.8,Low
PRJ0153,Integrated Solid Waste Processing Facility 60,Urban Infrastructure,NHAI,158.61,48,2024-01-16,100.1,72.0,63.4,32.0,25.8,High
PRJ0154,Urban Drainage & Stormwater Masterplan 8,Urban Infrastructure,BRO,340.63,30,2021-07-06,70.6,61.7,40.1,48.1,11.7,High
PRJ0155,Dedicated Freight Corridor Section 96,Railways,BRO,112.68,24,2021-11-27,113.4,112.0,91.8,43.1,12.2,High
PRJ0156,Smart City Multi-Level Interchange 29,Urban Infrastructure,Indian Railways,1532.5,36,2020-10-09,65.2,57.1,47.3,16.3,6.6,Medium
PRJ0157,River Interlinking Canal Package 6,Water & Sanitation,SECI,102.49,48,2022-12-03,45.7,29.3,19.5,46.0,16.2,High
PRJ0158,Metro Rail Line Corridor 8,Urban Infrastructure,DMRC,595.8,24,2022-09-12,106.4,100.0,100.0,3.1,2.8,Low
PRJ0159,Metro Rail Line Corridor 5,Urban Infrastructure,Indian Railways,259.24,24,2020-11-30,70.3,59.6,53.6,21.5,5.1,Medium
PRJ0160,Bypass & Ring Road Section 80,Roads & Highways,NHAI,1862.36,36,2020-09-29,32.6,28.2,13.8,23.0,4.7,High
PRJ0161,Floating Solar PV Power Array 4,Renewable Energy,NTPC,399.09,24,2022-08-14,35.9,34.7,23.4,18.9,2.0,Medium
PRJ0162,Bulk Water Supply Transmission Pipeline 8,Water & Sanitation,NHAI,297.11,30,2021-01-24,36.5,39.2,27.4,9.8,2.6,Medium
PRJ0163,Super Thermal Power Station Expansion Unit 90,Power & Energy,RVNL,111.89,30,2020-05-24,94.7,74.9,63.8,21.9,13.8,High
PRJ0164,Elevated Corridor & Flyover Zone 5,Roads & Highways,DMRC,750.11,36,2021-06-28,31.8,25.3,19.0,18.7,2.0,Medium
PRJ0165,Ultra Mega Solar Park Substation 6,Power & Energy,Indian Railways,65.48,24,2021-11-26,29.9,26.1,16.8,11.0,2.4,Medium
PRJ0166,Border Road Connectivity Corridor 84,Roads & Highways,DMRC,127.69,18,2021-05-16,111.8,101.8,92.9,30.5,11.6,High
PRJ0167,Border Road Connectivity Corridor 13,Roads & Highways,State PWD,797.52,24,2023-10-03,30.7,28.5,22.6,11.1,1.7,Medium
PRJ0168,Suburban Rail Line Expansion Phase 2,Railways,State PWD,55.54,18,2020-01-08,95.1,85.4,77.1,36.7,10.0,High
PRJ0169,High-Speed Rail Viaduct Package 2,Railways,NTPC,831.58,18,2022-11-29,60.1,48.8,42.9,9.1,3.2,Medium
PRJ0170,Integrated Solid Waste Processing Facility 74,Urban Infrastructure,RVNL,1616.04,36,2023-03-12,41.8,21.7,7.7,26.0,8.9,High
PRJ0171,Expressway Corridor Phase 8,Roads & Highways,CPWD,554.24,18,2020-01-21,52.7,46.5,35.9,13.8,1.8,Medium
PRJ0172,Metro Rail Line Corridor 7,Urban Infrastructure,NTPC,702.27,30,2022-01-16,108.1,101.6,87.4,33.2,14.4,High
PRJ0173,Railway Doubling & Electrification Line 61,Railways,CPWD,87.67,36,2024-01-18,37.1,39.1,37.6,0.2,1.4,Low
PRJ0174,Smart City Multi-Level Interchange 98,Urban Infrastructure,State PWD,424.54,24,2021-12-09,42.1,18.7,5.0,31.5,7.4,High
PRJ0175,Elevated Corridor & Flyover Zone 6,Roads & Highways,DMRC,371.66,36,2021-02-16,31.8,24.5,7.0,43.2,8.5,High
PRJ0176,Pumped Storage Hydro Power Package 2,Power & Energy,CPWD,162.16,18,2020-11-25,65.3,62.0,56.2,14.8,3.0,Medium
PRJ0177,Dedicated Freight Corridor Section 66,Railways,DMRC,157.02,30,2021-09-13,73.1,58.5,45.0,47.0,7.9,High
PRJ0178,Super Thermal Power Station Expansion Unit 30,Power & Energy,State PWD,286.32,30,2023-05-21,92.7,76.8,57.1,49.3,17.2,High
PRJ0179,Bypass & Ring Road Section 81,Roads & Highways,SECI,129.75,36,2021-05-01,70.2,68.8,59.7,12.9,5.6,Medium
PRJ0180,Expressway Corridor Phase 7,Roads & Highways,DMRC,262.54,30,2021-02-04,28.9,37.2,32.4,1.7,0.2,Low
PRJ0181,Inner Ring Road Grade Separator 5,Urban Infrastructure,CPWD,821.46,36,2020-04-06,65.5,60.3,44.0,35.4,12.0,High
PRJ0182,High-Speed Rail Viaduct Package 3,Railways,SECI,154.4,30,2020-08-10,69.8,57.3,42.7,28.7,12.6,High
PRJ0183,Station Redevelopment & Multi-Modal Hub 57,Railways,SECI,2235.0,18,2023-06-16,50.0,53.4,40.4,21.8,2.1,Medium
PRJ0184,Offshore Wind Transmission Hub 2,Renewable Energy,NHAI,194.56,36,2023-04-23,94.7,93.1,80.9,10.6,5.2,Medium
PRJ0185,NH-91 4-Lane Widening Package 4,Roads & Highways,NTPC,563.73,24,2023-10-13,101.1,93.6,84.6,14.3,4.4,Medium
PRJ0186,Super Thermal Power Station Expansion Unit 90,Power & Energy,DMRC,404.79,30,2020-12-17,88.1,80.5,73.7,11.4,8.8,Medium
PRJ0187,Dedicated Freight Corridor Section 93,Railways,BRO,447.08,30,2020-07-11,103.5,103.3,93.8,21.3,4.8,Medium
